"","codigo_ibge","nome","latitude","longitude","idh10","espvi10","fect10","mort10","estudo10","Renda"
"41",2303501,"Cascavel",-4.12967,-38.2412,0.646,72.57,1.82,19.5,9.74,5.71725793805762
"42",2303600,"Catarina",-6.12291,-39.8736,0.618,70.85,1.74,24,8.93,5.49597899384756
"43",2303659,"Catunda",-4.64336,-40.2,0.609,67.99,3.28,32.9,10.38,5.39870554057931
"44",2303709,"Caucaia",-3.72797,-38.6619,0.682,73.48,2.01,17.57,9.71,5.90481674038231
"45",2303808,"Cedro",-6.60034,-39.0609,0.627,70.18,2.14,26,9.51,5.74815017572295
"46",2303907,"Chaval",-3.03571,-41.2435,0.586,67.97,2.49,33,10.25,5.32486192177015
"47",2303931,"Choró",-4.83906,-39.1344,0.585,71.65,2.4,21.8,9.94,5.12074451677629
"48",2303956,"Chorozinho",-4.28873,-38.4986,0.604,69.53,2.13,27.9,9.35,5.61688018262568
"49",2304004,"Coreaú",-3.5415,-40.6587,0.61,70.5,2.25,25,10.04,5.33893133943329
"50",2304103,"Crateús",-5.16768,-40.6536,0.644,72.24,2.05,20.3,9.25,5.90429861272043
"51",2304202,"Crato",-7.2153,-39.4103,0.713,74.3,2.23,16.48,10.47,6.13118301027706
"52",2304236,"Croatá",-4.40481,-40.9022,0.59,70.58,2.38,24.8,10.45,5.12247477585179
"53",2304251,"Cruz",-2.91813,-40.176,0.632,70.13,1.94,26.1,10.04,5.63271602622234
"54",2304269,"Deputado Irapuan Pinheiro",-5.91485,-39.257,0.609,69.52,2.23,27.9,10.17,5.43816626166444
"55",2304277,"Ererê",-6.02751,-38.3461,0.61,70.23,1.74,25.8,9.14,5.48030553444075
"56",2304285,"Eusébio",-3.8925,-38.4559,0.701,72.66,2.06,19.2,10.13,6.405360680694
"57",2304301,"Farias Brito",-6.92146,-39.5651,0.633,71.41,2.5,22.5,10.73,5.42679852819658
"58",2304350,"Forquilha",-3.79945,-40.2634,0.644,70.62,2.04,24.7,10.3,5.67445664527437
"59",2304400,"Fortaleza",-3.71664,-38.5423,0.754,74.41,1.62,15.76,10.04,6.70025128965561
"60",2304459,"Fortim",-4.45126,-37.7981,0.624,69.06,1.89,29.4,9.44,5.56524811183019
"61",2304509,"Frecheirinha",-3.75557,-40.818,0.604,69.78,2.55,27.2,9.36,5.49876530993006
"62",2304608,"General Sampaio",-4.04351,-39.454,0.568,69.65,2.6,27.5,9.61,5.47780156852183
"63",2304657,"Graça",-4.04422,-40.749,0.57,70.28,2.33,25.6,9.74,5.26212007823615
"64",2304707,"Granja",-3.12788,-40.8372,0.559,71.68,2.53,21.7,9.46,5.13867664397714
"65",2304806,"Granjeiro",-6.88134,-39.2144,0.585,67.88,2.09,33.3,9.31,5.39843415788281
"66",2304905,"Groaíras",-3.91787,-40.3852,0.633,68.41,2.01,31.5,10.37,5.71488725438831
"67",2304954,"Guaiúba",-4.04057,-38.6404,0.617,71.05,2.13,23.4,9.3,5.44583178933659
"68",2305001,"Guaraciaba do Norte",-4.15814,-40.7476,0.609,71.57,2.82,22,9.52,5.49223805918534
"69",2305100,"Guaramiranga",-4.26248,-38.932,0.637,69.14,2.33,29.1,9.34,5.64052313501701
"70",2305209,"Hidrolândia",-4.40958,-40.4056,0.597,71.48,2.5,22.3,9.38,5.48616529146752
"71",2305233,"Horizonte",-4.1209,-38.4707,0.658,72.3,1.94,20.1,9.29,5.76126491006956
"72",2305266,"Ibaretama",-4.80376,-38.7501,0.577,70.52,2.65,25,8.86,5.29456031767032
"73",2305308,"Ibiapina",-3.92403,-40.8911,0.608,71.04,2.45,23.5,9.94,5.54353547218056
"74",2305332,"Ibicuitinga",-4.96999,-38.6362,0.606,70.5,2.2,25,9.94,5.26092697732948
